qtd-WordsRequired,frequency-split,frequency-no-split,-,word,frequency-split,frequency-no-split,,split,no-split,Degree 84w,Custom words [split],Degree [split],Custom words [no-split],Degree [no-split],Concordance [split],Concordance [no-split]
,,,,,,,,,,Low,64,Low,69,Low,TRUE,TRUE
,,,,,,,,,,Low,64,Low,69,Low,TRUE,TRUE
,,,,,,,,,,Low,64,Low,69,Low,TRUE,TRUE
,,,,,,,,,,Low,64,Low,69,Low,TRUE,TRUE
,,,,,,,,,,Low,64,Low,69,Low,TRUE,TRUE
,,,,,,,,,,Low,64,Low,69,Low,TRUE,TRUE
,,,,,,,,,,Low,64,Low,69,Low,TRUE,TRUE
,,,,,,,,,,Low,64,Low,69,Low,TRUE,TRUE
,,,,,,,,,,Low,64,Low,69,Low,TRUE,TRUE
,,,,,,,,,,Low,64,Low,69,Low,TRUE,TRUE
,,,,,,,,,,Low,64,Low,69,Low,TRUE,TRUE
,,,,,,,,,,Low,64,Low,69,Low,TRUE,TRUE
,,,,,,,,,,Low,64,Low,69,Low,TRUE,TRUE
,,,,,,,,,,Low,64,Low,69,Low,TRUE,TRUE
,,,,,,,,,,Low,64,Low,69,Low,TRUE,TRUE
,,,,,,,,,,Low,64,Low,69,Low,TRUE,TRUE
,,,,,,,,,,Low,64,Low,69,Low,TRUE,TRUE
,,,,,,,,,,Low,64,Low,69,Low,TRUE,TRUE
,,,,,,,,,,Low,64,Low,69,Low,TRUE,TRUE
,,,,,,,,,,Low,64,Low,69,Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,64,Moderate-Low,69,Moderate-Low,TRUE,TRUE
,,,,,,,,,,Low,64,Low,69,Low,TRUE,TRUE
,,,,,,,,,,Low,64,Low,69,Low,TRUE,TRUE
,,,,,,,,,,Low,64,Low,69,Low,TRUE,TRUE
,,,,,,,,,,Low,64,Low,69,Low,TRUE,TRUE
,,,,,,,,,,Low,64,Low,69,Low,TRUE,TRUE
,,,,,,,,,,Low,64,Low,69,Low,TRUE,TRUE
